county,state,fips,code,flag,population
Randolph,North Carolina,37151,NC, ,143667
Jackson,Mississippi,28059,MS, ,143617
Coconino,Arizona,4005,AZ, ,143476
Parker,Texas,48367,TX, ,142878
Brunswick,North Carolina,37019,NC, ,142820
Rowan,North Carolina,37159,NC, ,142088
Rock Island,Illinois,17161,IL, ,141879
Lebanon,Pennsylvania,42075,PA, ,141793
Schuylkill,Pennsylvania,42107,PA, ,141359
Livingston,Louisiana,22063,LA, ,140789
Sussex,New Jersey,34037,NJ, ,140488
Wright,Minnesota,27171,MN, ,138377
Florence,South Carolina,45041,SC, ,138293
Taylor,Texas,48441,TX, ,138034
Napa,California,6055,CA,B,137744
Randall,Texas,48381,TX, ,137713
Spotsylvania,Virginia,51177,VA, ,136215
Grayson,Texas,48181,TX, ,136212
Kaufman,Texas,48257,TX, ,136154
Washington,Wisconsin,55131,WI, ,136034
Harnett,North Carolina,37085,NC, ,135976
Marathon,Wisconsin,55073,WI, ,135692
Humboldt,California,6023,CA, ,135558
Tangipahoa,Louisiana,22105,LA, ,134758
Hampton city,Virginia,51650,VA, ,134510
Calhoun,Michigan,26025,MI, ,134159
Clark,Ohio,39023,OH, ,134083
Boone,Kentucky,21015,KY, ,133581
Blount,Tennessee,47009,TN, ,133088
Warren,Kentucky,21227,KY, ,132896
Sumter,Florida,12119,FL, ,132420
Wichita,Texas,48485,TX, ,132230
Tazewell,Illinois,17179,IL, ,131803
Black Hawk,Iowa,19013,IA, ,131228
Wood,Ohio,39173,OH, ,130817
Strafford,New Hampshire,33017,NH, ,130633
Robeson,North Carolina,37155,NC, ,130625
Cambria,Pennsylvania,42021,PA, ,130192
Linn,Oregon,41043,OR, ,129749
Rapides,Louisiana,22079,LA, ,129648
Madison,Indiana,18095,IN, ,129569
Washington,Tennessee,47179,TN, ,129375
Fayette,Pennsylvania,42051,PA, ,129274
Skagit,Washington,53057,WA, ,129205
Kendall,Illinois,17093,IL, ,128990
Clarke,Georgia,13059,GA, ,128331
Cache,Utah,49005,UT, ,128289
Sebastian,Arkansas,5131,AR, ,127827
Bossier,Louisiana,22015,LA, ,127039
Chautauqua,New York,36013,NY, ,126903
Pickens,South Carolina,45077,SC, ,126884
Ascension,Louisiana,22005,LA, ,126604
Faulkner,Arkansas,5045,AR, ,126007
Cochise,Arizona,4003,AZ, ,125922
Washington,Rhode Island,44009,RI, ,125577
Berkshire,Massachusetts,25003,MA, ,124944
Hunterdon,New Jersey,34019,NJ, ,124371
San Juan,New Mexico,35045,NM, ,123958
Gregg,Texas,48183,TX, ,123945
Wayne,North Carolina,37191,NC, ,123131
Saline,Arkansas,5125,AR, ,122437
Kennebec,Maine,23011,ME, ,122302
Douglas,Kansas,20045,KS, ,122259
Blair,Pennsylvania,42013,PA, ,121829
Jasper,Missouri,29097,MO, ,121328
Richland,Ohio,39139,OH, ,121154
Comanche,Oklahoma,40031,OK, ,120749
Carroll,Georgia,13045,GA, ,119992
Morgan,Alabama,1103,AL, ,119679
Missoula,Montana,30063,MT, ,119600
Tom Green,Texas,48451,TX, ,119200
Berkeley,West Virginia,54003,WV, ,119171
Bonneville,Idaho,16019,ID, ,119062
Clark,Indiana,18019,IN, ,118302
Allegan,Michigan,26005,MI, ,118081
La Crosse,Wisconsin,55063,WI, ,118016
